aig_name,inputs,latches,outputs,gates,correct_cnt,nonIC3_correct_cnt,ground_time,k_threshold,largest_k,checked_samples,alg_time,ac_cnt,ac_ratio 
lmcs06prodcell4.aig_0,116,172,0,1544,1000,501,35852.0284132957,0,0,0,0,501,0.501
lmcs06prodcell4.aig_1,116,172,0,1544,1000,501,35852.0284132957,1,42.24,1,34.6297113013267,740.52,0.74052
lmcs06prodcell4.aig_2,116,172,0,1544,1000,501,35852.0284132957,2,70.4,2,75.2454556870461,900.2,0.9002
lmcs06prodcell4.aig_3,116,172,0,1544,1000,501,35852.0284132957,3,73.92,3,101.520870606899,920.16,0.92016
lmcs06prodcell4.aig_4,116,172,0,1544,1000,501,35852.0284132957,4,80.96,4,140.501500282288,960.08,0.96008
lmcs06prodcell4.aig_5,116,172,0,1544,1000,501,35852.0284132957,5,85.36,5,179.090812005997,985.03,0.98503
lmcs06prodcell4.aig_6,116,172,0,1544,1000,501,35852.0284132957,6,87.12,6,227.116238775253,995.01,0.99501
lmcs06prodcell4.aig_7,116,172,0,1544,1000,501,35852.0284132957,7,87.12,7,227.910917506218,995.01,0.99501
lmcs06prodcell4.aig_8,116,172,0,1544,1000,501,35852.0284132957,8,88,8,292.210353806019,1000,1
lmcs06prodcell4.aig_9,116,172,0,1544,1000,501,35852.0284132957,9,88,9,337.779050037861,1000,1
lmcs06prodcell4.aig_10,116,172,0,1544,1000,501,35852.0284132957,10,88,10,358.339746649265,1000,1
lmcs06prodcell4.aig_11,116,172,0,1544,1000,501,35852.0284132957,11,87.12,11,377.897669663429,995.01,0.99501
lmcs06prodcell4.aig_12,116,172,0,1544,1000,501,35852.0284132957,12,88,12,428.515771582127,1000,1
lmcs06prodcell4.aig_13,116,172,0,1544,1000,501,35852.0284132957,13,88,13,465.020798809528,1000,1
lmcs06prodcell4.aig_14,116,172,0,1544,1000,501,35852.0284132957,14,88,14,497.199565169811,1000,1
lmcs06prodcell4.aig_15,116,172,0,1544,1000,501,35852.0284132957,15,88,15,530.605261769295,1000,1
lmcs06prodcell4.aig_16,116,172,0,1544,1000,501,35852.0284132957,16,88,16,578.100944137573,1000,1
lmcs06prodcell4.aig_17,116,172,0,1544,1000,501,35852.0284132957,17,88,17,586.248523585796,1000,1
lmcs06prodcell4.aig_18,116,172,0,1544,1000,501,35852.0284132957,18,88,18,627.203471939564,1000,1
lmcs06prodcell4.aig_19,116,172,0,1544,1000,501,35852.0284132957,19,88,19,683.577987885475,1000,1
lmcs06prodcell4.aig_20,116,172,0,1544,1000,501,35852.0284132957,20,88,20,713.155757319927,1000,1
lmcs06prodcell4.aig_21,116,172,0,1544,1000,501,35852.0284132957,21,88,21,771.332655704022,1000,1
lmcs06prodcell4.aig_22,116,172,0,1544,1000,501,35852.0284132957,22,88,22,772.206525490284,1000,1
lmcs06prodcell4.aig_23,116,172,0,1544,1000,501,35852.0284132957,23,88,23,841.986422760487,1000,1
lmcs06prodcell4.aig_24,116,172,0,1544,1000,501,35852.0284132957,24,88,24,878.789071190357,1000,1
lmcs06prodcell4.aig_25,116,172,0,1544,1000,501,35852.0284132957,25,88,25,896.679459207058,1000,1
lmcs06prodcell4.aig_26,116,172,0,1544,1000,501,35852.0284132957,26,88,26,916.299011878967,1000,1
lmcs06prodcell4.aig_27,116,172,0,1544,1000,501,35852.0284132957,27,88,27,961.10812804699,1000,1
lmcs06prodcell4.aig_28,116,172,0,1544,1000,501,35852.0284132957,28,88,28,978.327624800205,1000,1
lmcs06prodcell4.aig_29,116,172,0,1544,1000,501,35852.0284132957,29,88,29,1039.63290531874,1000,1
lmcs06prodcell4.aig_30,116,172,0,1544,1000,501,35852.0284132957,30,88,30,1072.68496261597,1000,1
lmcs06prodcell4.aig_31,116,172,0,1544,1000,501,35852.0284132957,31,88,31,1102.59515616417,1000,1
lmcs06prodcell4.aig_32,116,172,0,1544,1000,501,35852.0284132957,32,88,32,1104.98798741817,1000,1
lmcs06prodcell4.aig_33,116,172,0,1544,1000,501,35852.0284132957,33,88,33,1162.72360290766,1000,1
lmcs06prodcell4.aig_34,116,172,0,1544,1000,501,35852.0284132957,34,88,34,1262.22404360771,1000,1
