aig_name,inputs,latches,outputs,gates,correct_cnt,ic3_ac_cnt,ic3_ac_ratio,ic3_timeout,ic3_time,fsis_ac_cnt,fsis_ac_ratio,fsis_timeout,fsis_time,init_alg,all_timeout,gen_threshold,i234_time,if_frame,i234_ac_cnt,i234_ac_ratio 
pdtvismiim4.aig,41,86,1,893,216,185,0.856481481481482,0,0.067520380020142,25,0.115740740740741,0,0.128512382507324,Init4,false,0,5.701252,1,216,1
pdtvisns3p16.aig,21,117,1,3977,591,591,1,0,0.319032430648804,591,1,0,0.42925238609314,Init2,false,2,0.369642,1,591,1
kenflashp06.aig,45,47,1,1399,948,948,1,0,0.167827844619751,948,1,0,0.229136943817139,Init2,false,2,0.218398,1,948,1
boblivear.aig,5,77,1,321,976,0,0,0,43.3359036445618,0,0,0,2.9863862991333,Init2,false,8,25.938957,18,0,0
pdtvistictactoe12.aig,4,33,1,884,1000,1000,1,0,0.168455123901367,1000,1,0,0.278990507125854,Init2,false,2,0.168266,1,1000,1
pdtvisblackjack3.aig,5,104,1,3471,440,0,0,0,0.419108152389526,0,0,0,1.33174347877502,Init2,false,2,0.971071,8,0,0
nusmvreactorp5.aig,73,75,1,1224,929,929,1,0,0.168740510940552,929,1,0,0.228998899459839,Init2,false,2,0.218794,1,929,1
pdtvisvsa16a11.aig,32,236,1,6244,522,522,1,0,0.468708992004395,522,1,0,0.630288600921631,Init2,false,2,0.620691,1,522,1
6s421rb083.aig,153,951,1,6294,73,0,0,0,0.971283674240112,0,0,0,3.33807134628296,Init4,false,0,21.395538,1,73,1
pdtvisminmaxr1.aig,12,28,1,532,331,269,0.812688821752266,0,0.068426847457886,262,0.791540785498489,0,0.178886890411377,Init4,false,0,2.844413,1,331,1
6s374b114.aig,1051,26324,1,351902,8,0,0,0,14.3078908920288,0,0,1,1200.01435828209,Init2,false,2,43.675285,3,0,0
mentorbm1p02.aig,224,4377,1,31685,1000,864,0.864,0,4.02872514724731,0,0,0,40.7382378578186,Init2,false,16,5.189571,3,864,0.864
pdtvisheap05.aig,4,33,1,1150,614,614,1,0,0.118282556533813,614,1,0,0.178940534591675,Init2,false,2,0.121448,1,614,1
139442p0.aig,169,231,1,3439,1000,463,0.463,0,0.419513702392578,529,0.529,0,0.981497287750244,Init2,false,32,0.921236,1,529,0.529
